psmiles,tier2_ml_tg_K,tier1_gc_tg_K,disagreement_K,max_tanimoto_to_training,pri,already_in_training_set,family
*Nc1ccc(C(=O)Nc2ccc(Cc3ccc(NC(=O)CCCCC(=O)Nc4ccc(C(*)=O)cc4)cc3)cc2)cc1,495.4736344267036,511.31758950801884,6.419548008771102,0.8292682766914368,0.5800511782360992,False,polyamide
*c1ccc(Sc2ccc(S(=O)(=S)c3ccc(S(*)(=O)=O)cc3)cc2)cc1,455.3203182260455,306.2594083928425,0.26196478953860947,0.699999988079071,0.5794214654893174,False,polysulfone
*c1ccc(C(=O)c2ccc(-c3ccc(*)cc3)cc2)cc1,463.9109636955901,396.79443161246013,2.609084637742143,0.7368420958518982,0.5777826893425422,False,aromatic_hc
*Oc1ccc(S(=O)(=O)c2ccc(OC(=O)c3cccc(C(=O)Oc4ccc(C(*)=O)cc4)c3)cc2)cc1,476.4339094230728,474.5406446559727,8.577007192005794,0.8571428656578064,0.577573289561091,False,polyester
*c1ccc(Sc2ccc(-c3ccc(-c4ccc(S(*)(=O)=O)cc4)cc3)cc2)cc1,468.30745887306114,386.74336619029066,9.498841865033143,0.875,0.5774198412023971,False,polysulfone
*Nc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(C(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,494.244344613493,399.93724917043784,0.04513633888703339,0.6818181872367859,0.5773268674003899,False,polysulfone
*NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc(-c3ccc(C(*)=O)cc3)cc2)c1,471.5378836565468,559.1367503009533,2.288428446626284,0.7272727489471436,0.5773164651900938,False,polyamide
*c1ccc(Oc2ccc(C(=O)Nc3ccc(S(=O)(=O)c4ccc(NC(=O)c5ccc(Oc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,488.5393966754302,414.5914911672283,1.35909582373651,0.7083333134651184,0.5773061931261558,False,polyamide
*Oc1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(C(=O)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,456.71332004703777,471.638631061614,0.22944459465779232,0.6829268336296082,0.5769282275251384,False,polyether
*C(=O)c1ccc(Sc2ccc(N(*)C)cc2)cc1,454.2624660752135,405.0722085241282,4.164796604439431,0.7599999904632568,0.576485550236701,False,aromatic_hc
*Oc1ccc(OC(=O)c2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1O,487.1364426749441,476.9628450457552,4.007694110769052,0.7567567825317383,0.5764787617336076,False,polyester
*Oc1ccc(Oc2ccc(Oc3ccc(OC(=O)c4ccc([Si](C)(C)c5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,465.2367974416502,431.8353494599595,2.2798113305405536,0.7179487347602844,0.5759212628653565,False,polyester
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2C(C)(C)C)cc1,460.0175892163071,452.22264161900046,4.259182827419863,0.7560975551605225,0.5755948797370911,False,polyether
*c1ccc(/C=C/c2ccc(Oc3ccc(S(*)(=O)=O)cc3)cc2)cc1,466.2027875883779,398.6291702053852,2.25935200035633,0.7142857313156128,0.5754264522360839,False,polysulfone
*Oc1ccc(-c2ccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5ccc(*)cc5)cc4)cc3)cc2)cc1,488.17712328863576,388.3853887508323,1.691363695490395,0.7027027010917664,0.5754218313843826,False,polysulfone
*c1ccc(C#Cc2ccc(Oc3ccc(S(*)(=O)=O)cc3)cc2)cc1,476.52422569747495,420.3020639027618,2.270778631528003,0.7142857313156128,0.5753910342142465,False,polysulfone
*c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(=O)c5ccc(C(=O)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,451.3598275084738,382.62989507802763,2.847267959779799,0.7241379022598267,0.5751045203353568,False,polyether
*c1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,451.3598275084738,386.3343407894882,2.847267959779799,0.7241379022598267,0.5751045203353568,False,polyether
*Oc1ccc(Oc2ccc(C(=O)Oc3ccc(OC(=O)c4ccc(OC(=O)c5cccc(C(*)=O)c5)cc4)cc3)cc2)cc1,453.1939689328759,464.390201301253,13.816067504305721,0.9459459185600281,0.5747742214314808,False,polyester
*Oc1ccc(Oc2ccc(OC(=O)c3ccc(OC(=O)c4ccc(OC(=O)c5cccc(C(*)=O)c5)cc4)cc3)cc2)cc1,453.1939689328759,464.390201301253,13.816067504305721,0.9459459185600281,0.5747742214314808,False,polyester
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(Oc4ccc(C(=O)Nc5ccc(S(=O)(=O)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,494.81070680011874,493.75445534098196,0.9021325136217513,0.6779661178588867,0.5741035912768235,False,polyamide
*Oc1ccc(OC(=O)c2ccc(-c3ccc(C(=O)Oc4ccc(OC(*)=O)cc4)cc3)cc2)cc1,466.42023776432535,374.65352837420244,12.002764616625711,0.9032257795333862,0.5739252758602309,False,polyester
*Nc1ccc(NC(=O)c2ccc(Oc3ccc(C(c4ccc(*)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc2)cc1,497.80863618015076,361.4330156759743,6.516551925076101,0.7872340679168701,0.5733176795179564,False,fluoropolymer
*Oc1ccc(/N=N/c2ccc(Oc3ccc(/N=N/c4ccc(OC(=O)c5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,459.0666178660066,427.1231280120619,5.028493173674548,0.7567567825317383,0.5732982095996042,False,polyester
*Oc1ccc(Oc2ccc(/N=N/c3ccc(OC(=O)c4ccc(OC(=O)c5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,459.0666178660066,446.29220347510443,5.028493173674548,0.7567567825317383,0.5732982095996042,False,polyester
*Oc1ccc(C(=O)c2ccc(Oc3ccc(C(=O)c4cccc(*)c4)cc3)c(C(F)(F)F)c2)cc1,455.49469005950687,347.73580766582603,2.4194354166511687,0.7021276354789734,0.5730791094136026,False,fluoropolymer
*Nc1ccc2c(c1)c1cc(*)ccc1n2CC,465.0036202261847,362.52064687127876,1.3630396309577293,0.6785714030265808,0.5727721885174065,False,aromatic_hc
